nome;num_colecao;extras;lingua;condicao
Lass;75/102;;Português;D
Pokémon Breeder;76/102;;;
Pokémon Trader;77/102;;;
Scoop Up;78/102;;Português;SP
Super Energy Removal;79/102;;;
Defender;80/102;;Português;SP
Energy Retrieval;81/102;;Português;MP
Energy Retrieval;81/102;;Português;MP
Energy Retrieval;81/102;;Português;MP
Full Heal;82/102;;;
Maintenance;83/102;;Português;SP
PlusPower;84/102;;Português;MP
Pokémon Center;85/102;;Português;NM
Pokémon Center;85/102;;Português;NM
Pokémon Center;85/102;;Português;MP
Pokémon Flute;86/102;;;
Pokédex;87/102;;Português;NM
Pokédex;87/102;;Português;SP
Pokédex;87/102;;Português;SP
Pokédex;87/102;;Português;MP
Pokédex;87/102;;Português;HP
Professor Oak;88/102;;Português;NM
Professor Oak;88/102;;Português;NM
Professor Oak;88/102;;Português;NM
Professor Oak;88/102;;Português;SP
Professor Oak;88/102;;Português;MP
Professor Oak;88/102;;Português;HP
Revive;89/102;;;
Super Potion;90/102;;Português;NM
Super Potion;90/102;;Português;NM
Super Potion;90/102;;Português;SP
Super Potion;90/102;;Português;SP
Super Potion;90/102;;Português;SP
Super Potion;90/102;;Português;SP
Super Potion;90/102;;Português;SP
Super Potion;90/102;;Português;SP
Super Potion;90/102;;Português;MP
Super Potion;90/102;;Português;MP
Super Potion;90/102;;Português;MP
Super Potion;90/102;;Português;D
Super Potion;90/102;;Português;D
Bill;91/102;;Português;SP
Bill;91/102;;Português;SP
Bill;91/102;;Português;SP
Bill;91/102;;Português;SP
Bill;91/102;;Português;SP
Bill;91/102;;Português;MP
Bill;91/102;;Português;MP
Bill;91/102;;Português;MP
Bill;91/102;;Português;MP
Bill;91/102;;Português;HP
Bill;91/102;;Português;D
Energy Removal;92/102;;Português;D
Gust of Wind;93/102;;Português;NM
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;SP
Gust of Wind;93/102;;Português;MP
Gust of Wind;93/102;;Português;MP
Gust of Wind;93/102;;Português;MP
Gust of Wind;93/102;;Português;MP
Gust of Wind;93/102;;Português;D
Gust of Wind;93/102;;Português;D
Potion;94/102;;Português;NM
Potion;94/102;;Português;NM
Potion;94/102;;Português;NM
Potion;94/102;;Português;NM
Potion;94/102;;Português;NM
Potion;94/102;;Português;NM
Potion;94/102;;Português;NM
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;SP
Potion;94/102;;Português;MP
Potion;94/102;;Português;MP
Potion;94/102;;Português;MP
Potion;94/102;;Português;D
Potion;94/102;;Português;D
Potion;94/102;;Português;D
Switch;95/102;;Português;NM
Switch;95/102;;Português;NM
Switch;95/102;;Português;SP
Switch;95/102;;Português;SP
Switch;95/102;;Português;SP
Switch;95/102;;Português;SP
Switch;95/102;;Português;SP
Switch;95/102;;Português;MP
Switch;95/102;;Português;D
Switch;95/102;;Português;D
Double Colorless Energy;96/102;;;
Fighting Energy;97/102;;;
Fire Energy;98/102;;;
Grass Energy;99/102;;;
Lightning Energy;100/102;;;
Psychic Energy;101/102;;;
Water Energy;102/102;;;
