;nome;num_colecao;extras;lingua;condicao;size;preco_unitario;preco_total
46;abra;(43, 102);;português;hp;1;0.1;0.1
47;bulbasaur;(44, 102);;português;nm;7;25.2;176.4
48;bulbasaur;(44, 102);;português;sp;1;2.5;2.5
49;caterpie;(45, 102);;português;nm;1;11.9;11.9
50;charmander;(46, 102);;português;nm;2;8.9;17.8
51;charmander;(46, 102);;português;sp;5;2.3;11.5
52;charmander;(46, 102);;português;mp;4;0.5;2.0
53;charmander;(46, 102);;português;hp;1;0.4;0.4
54;charmander;(46, 102);;português;d;1;0.25;0.25
55;diglett;(47, 102);;português;sp;2;0.99;1.98
56;diglett;(47, 102);;português;mp;1;0.2;0.2
57;diglett;(47, 102);;português;hp;3;0.18;0.54
58;drowzee;(49, 102);;português;mp;2;0.3;0.6
59;gastly;(50, 102);;português;nm;1;9.98;9.98
60;gastly;(50, 102);;português;sp;3;2.49;7.47
61;koffing;(51, 102);;português;nm;4;5.98;23.92
62;koffing;(51, 102);;português;sp;2;0.99;1.98
63;koffing;(51, 102);;português;mp;2;1.5;3.0
64;machop;(52, 102);;português;nm;3;9.9;29.7
65;machop;(52, 102);;português;sp;4;1.25;5.0
66;machop;(52, 102);;português;mp;5;0.2;1.0
67;machop;(52, 102);;português;hp;1;0.1;0.1
68;magnemite;(53, 102);;português;nm;1;9.89;9.89
69;magnemite;(53, 102);;português;sp;1;0.5;0.5
70;metapod;(54, 102);;português;sp;1;2.49;2.49
71;nidoran macho;(55, 102);;português;nm;1;7.98;7.98
72;nidoran macho;(55, 102);;português;sp;1;0.5;0.5
73;nidoran macho;(55, 102);;inglês;mp;1;0.3;0.3
74;onix;(56, 102);;português;nm;1;6.99;6.99
75;onix;(56, 102);;português;sp;1;1.7;1.7
76;pidgey;(57, 102);;português;d;1;0.49;0.49
77;pikachu;(58, 102);;português;nm;3;14.95;44.85
78;pikachu;(58, 102);;português;sp;1;2.69;2.69
79;pikachu;(58, 102);;português;mp;1;2.29;2.29
80;poliwag;(59, 102);;português;nm;4;1.0;4.0
81;poliwag;(59, 102);;português;sp;2;1.49;2.98
82;poliwag;(59, 102);;português;mp;3;0.5;1.5
83;poliwag;(59, 102);;português;d;1;0.16;0.16
84;ponyta;(60, 102);;português;nm;3;1.0;3.0
85;ponyta;(60, 102);;português;sp;1;1.7;1.7
86;ponyta;(60, 102);;português;hp;5;0.1;0.5
87;rattata;(61, 102);;português;nm;2;8.09;16.18
88;rattata;(61, 102);;português;sp;1;1.98;1.98
89;rattata;(61, 102);;português;mp;1;0.63;0.63
90;sandshrew;(62, 102);;português;sp;1;0.71;0.71
91;squirtle;(63, 102);;português;nm;1;11.69;11.69
92;squirtle;(63, 102);;português;sp;1;7.99;7.99
93;starmie;(64, 102);;português;sp;2;1.7;3.4
94;starmie;(64, 102);;português;mp;1;1.5;1.5
95;staryu;(65, 102);;português;nm;1;1.49;1.49
96;staryu;(65, 102);;português;sp;3;0.5;1.5
97;staryu;(65, 102);;português;mp;3;0.19;0.57
98;tangela;(66, 102);;português;sp;2;1.49;2.98
99;voltorb;(67, 102);;português;nm;1;17.91;17.91
100;vulpix;(68, 102);;português;nm;2;1.0;2.0
101;vulpix;(68, 102);;português;sp;1;1.99;1.99
102;vulpix;(68, 102);;português;d;1;0.25;0.25
103;vulpix;(68, 102);;inglês;mp;1;0.26;0.26
104;weedle;(69, 102);;português;sp;1;0.2;0.2
105;weedle;(69, 102);;português;mp;3;0.25;0.75
106;computer search;(71, 102);;português;sp;1;19.5;19.5
107;lass;(75, 102);;português;sp;1;3.49;3.49
108;lass;(75, 102);;português;d;1;8.5;8.5
109;scoop up;(78, 102);;português;sp;1;39.99;39.99
110;defender;(80, 102);;português;sp;1;2.7;2.7
111;energy retrieval;(81, 102);;português;mp;3;1.99;5.97
112;maintenance;(83, 102);;português;sp;1;13.95;13.95
113;pluspower;(84, 102);;português;mp;1;2.5;2.5
114;pokémon center;(85, 102);;português;nm;2;;
115;pokémon center;(85, 102);;português;mp;1;19.9;19.9
116;pokédex;(87, 102);;português;nm;1;5.5;5.5
117;pokédex;(87, 102);;português;sp;2;0.99;1.98
118;pokédex;(87, 102);;português;mp;1;0.4;0.4
119;pokédex;(87, 102);;português;hp;1;0.25;0.25
120;professor oak;(88, 102);;português;nm;3;;
121;professor oak;(88, 102);;português;sp;1;3.51;3.51
122;professor oak;(88, 102);;português;mp;1;3.9;3.9
123;professor oak;(88, 102);;português;hp;1;2.49;2.49
124;super potion;(90, 102);;português;nm;2;0.91;1.82
125;super potion;(90, 102);;português;sp;6;0.4;2.4
126;super potion;(90, 102);;português;mp;3;0.19;0.57
127;super potion;(90, 102);;português;d;2;0.09;0.18
128;bill;(91, 102);;português;sp;5;0.99;4.95
129;bill;(91, 102);;português;mp;4;0.4;1.6
130;bill;(91, 102);;português;hp;1;0.19;0.19
131;bill;(91, 102);;português;d;1;0.09;0.09
132;energy removal;(92, 102);;português;d;1;0.08;0.08
133;gust of wind;(93, 102);;português;nm;1;1.38;1.38
134;gust of wind;(93, 102);;português;sp;9;0.49;4.41
135;gust of wind;(93, 102);;português;mp;4;0.39;1.56
136;gust of wind;(93, 102);;português;d;2;0.09;0.18
137;potion;(94, 102);;português;nm;7;1.5;10.5
138;potion;(94, 102);;português;sp;14;0.2;2.8
139;potion;(94, 102);;português;mp;3;0.27;0.81
140;potion;(94, 102);;português;d;3;0.09;0.27
141;switch;(95, 102);;português;nm;2;1.3;2.6
142;switch;(95, 102);;português;sp;5;0.49;2.45
143;switch;(95, 102);;português;mp;1;0.39;0.39
144;switch;(95, 102);;português;d;2;0.15;0.3
145;fighting energy;(97, 102);;português;sp;28;0.75;21.0
146;fighting energy;(97, 102);;português;mp;13;0.49;6.37
147;fighting energy;(97, 102);;português;hp;8;0.18;1.44
148;fighting energy;(97, 102);;português;d;6;0.19;1.14
149;fighting energy;(97, 102);;português;nm;21;1.0;21.0
150;fire energy;(98, 102);;português;mp;33;0.89;29.37
151;fire energy;(98, 102);;português;sp;13;0.81;10.53
152;grass energy;(99, 102);;português;sp;63;0.49;30.87
153;grass energy;(99, 102);;português;mp;31;0.29;8.99
154;grass energy;(99, 102);;português;hp;3;0.14;0.42
155;grass energy;(99, 102);;português;d;4;0.09;0.36
156;grass energy;(99, 102);;português;nm;8;0.99;7.92
157;lightning energy;(100, 102);;português;sp;6;2.0;12.0
158;lightning energy;(100, 102);;português;mp;1;0.36;0.36
159;psychic energy;(101, 102);;português;sp;33;0.45;14.85
160;psychic energy;(101, 102);;português;mp;6;0.32;1.92
161;psychic energy;(101, 102);;português;d;4;0.09;0.36
162;psychic energy;(101, 102);;português;nm;7;5.9;41.3
163;water energy;(102, 102);;português;sp;41;0.69;28.29
164;water energy;(102, 102);;português;nm;3;;
165;articuno;(2, 62);foil;português;sp;1;170.0;170.0
166;haunter;(6, 62);foil, edition one;português;nm;1;120.0;120.0
167;hitmonlee;(7, 62);foil;português;sp;1;;
168;hypno;(8, 62);foil;português;sp;1;;
169;kabutops;(9, 62);foil;português;sp;1;;
170;lapras;(10, 62);foil;português;sp;1;29.5;29.5
171;magneton;(11, 62);foil;inglês;mp;1;79.9;79.9
172;muk;(13, 62);foil;português;nm;1;29.95;29.95
173;muk;(13, 62);foil;português;sp;1;30.0;30.0
174;ditto;(18, 62);;português;sp;1;;
175;ditto;(18, 62);;português;mp;1;35.0;35.0
176;dragonite;(19, 62);;português;sp;1;;
177;gengar;(20, 62);;português;d;1;;
178;kabutops;(24, 62);;português;mp;1;25.0;25.0
179;arbok;(31, 62);;português;sp;1;;
180;cloyster;(32, 62);;português;sp;1;;
181;gastly;(33, 62);;português;sp;2;;
182;gastly;(33, 62);;português;nm;1;25.2;25.2
183;golbat;(34, 62);;português;nm;2;18.0;36.0
184;golbat;(34, 62);;português;sp;2;3.3;6.6
185;golbat;(34, 62);;português;mp;1;0.26;0.26
186;golbat;(34, 62);;português;d;1;;
187;golduck;(35, 62);;português;nm;1;;
188;golduck;(35, 62);edition one;português;d;1;;
189;graveler;(37, 62);;português;nm;3;;
190;graveler;(37, 62);;português;sp;2;6.29;12.58
191;graveler;(37, 62);edition one;português;d;1;3.15;3.15
192;kingler;(38, 62);;português;nm;1;17.91;17.91
193;kingler;(38, 62);;português;sp;1;1.0;1.0
194;magmar;(39, 62);;português;sp;1;2.7;2.7
195;omastar;(40, 62);;português;nm;2;;
196;sandslash;(41, 62);;português;mp;1;;
197;sandslash;(41, 62);;português;d;1;;
198;seadra;(42, 62);;português;nm;3;17.91;53.73
199;seadra;(42, 62);;português;mp;1;1.35;1.35
200;slowbro;(43, 62);;português;sp;1;;
201;tentacruel;(44, 62);;português;nm;3;;
202;tentacruel;(44, 62);;português;sp;1;;
203;tentacruel;(44, 62);edition one;português;hp;1;;
204;weezing;(45, 62);edition one;português;hp;1;1.49;1.49
205;ekans;(46, 62);;português;nm;3;12.0;36.0
206;geodude;(47, 62);;português;nm;4;0.3;1.2
207;geodude;(47, 62);;português;sp;2;0.49;0.98
208;geodude;(47, 62);;português;mp;3;0.4;1.2
209;geodude;(47, 62);edition one;português;d;1;0.29;0.29
210;grimer;(48, 62);;português;nm;6;14.39;86.34
211;grimer;(48, 62);;português;sp;4;1.7;6.8
212;grimer;(48, 62);;português;mp;1;0.29;0.29
213;horsea;(49, 62);;português;nm;2;2.9;5.8
214;horsea;(49, 62);;português;sp;1;0.2;0.2
215;horsea;(49, 62);edition one;português;hp;1;1.49;1.49
216;kabuto;(50, 62);;português;nm;3;;
217;kabuto;(50, 62);;português;sp;1;1.7;1.7
218;kabuto;(50, 62);edition one;português;hp;1;1.15;1.15
219;kabuto;(50, 62);edition one;português;d;1;1.0;1.0
220;krabby;(51, 62);;português;nm;2;6.21;12.42
221;krabby;(51, 62);;português;sp;3;0.5;1.5
222;omanyte;(52, 62);;português;nm;1;;
223;omanyte;(52, 62);;português;sp;3;;
224;psyduck;(53, 62);;português;nm;2;17.91;35.82
225;psyduck;(53, 62);;inglês;sp;1;2.0;2.0
226;psyduck;(53, 62);;português;sp;2;;
227;shellder;(54, 62);;português;nm;1;3.59;3.59
228;shellder;(54, 62);;português;sp;4;1.0;4.0
229;shellder;(54, 62);edition one;português;d;1;0.29;0.29
230;shellder;(54, 62);;português;d;1;0.9;0.9
231;slowpoke;(55, 62);;português;sp;4;1.7;6.8
232;slowpoke;(55, 62);edition one;inglês;sp;1;22.5;22.5
233;tentacool;(56, 62);;português;sp;2;;
234;tentacool;(56, 62);;português;mp;2;;
235;tentacool;(56, 62);edition one;português;hp;1;1.02;1.02
236;zubat;(57, 62);;português;nm;3;6.29;18.87
237;zubat;(57, 62);;português;sp;3;1.5;4.5
238;zubat;(57, 62);;português;mp;3;0.4;1.2
239;zubat;(57, 62);;português;d;1;0.9;0.9
240;zubat;(57, 62);edition one;português;d;1;1.5;1.5
241;mr. fuji;(58, 62);;português;nm;1;9.9;9.9
242;mr. fuji;(58, 62);;português;sp;1;;
243;mr. fuji;(58, 62);;português;d;1;;
244;energy search;(59, 62);;português;sp;4;0.49;1.96
245;gambler;(60, 62);;português;sp;2;0.8;1.6
246;gambler;(60, 62);;inglês;d;1;1.9;1.9
247;recycle;(61, 62);;português;sp;5;0.5;2.5
248;recycle;(61, 62);;português;mp;1;0.8;0.8
249;mysterious fossil;(62, 62);;português;nm;1;;
250;mysterious fossil;(62, 62);;português;sp;3;1.7;5.1
251;mysterious fossil;(62, 62);;português;d;1;;
252;jolteon;(4, 64);foil;inglês;mp;1;;
253;kangaskhan;(5, 64);foil;português;sp;2;35.91;71.82
254;kangaskhan;(5, 64);foil;português;mp;1;11.99;11.99
255;mr. mime;(6, 64);foil;inglês;d;1;29.0;29.0
256;snorlax;(11, 64);foil;português;d;1;80.91;80.91
257;vaporeon;(12, 64);foil;português;d;1;14.49;14.49
258;vaporeon;(12, 64);foil;português;sp;1;34.5;34.5
259;vaporeon;(12, 64);foil;português;mp;1;24.5;24.5
260;venomoth;(29, 64);;português;mp;1;5.0;5.0
261;butterfree;(33, 64);;inglês;hp;1;2.0;2.0
262;dodrio;(34, 64);;português;sp;1;3.7;3.7
263;gloom;(37, 64);;português;nm;1;2.9;2.9
264;gloom;(37, 64);;português;sp;2;0.4;0.8
265;nidorina;(40, 64);;português;nm;2;12.9;25.8
266;nidorina;(40, 64);;português;sp;3;0.36;1.08
267;nidorina;(40, 64);;português;d;1;0.18;0.18
268;persian;(42, 64);;português;nm;3;18.0;54.0
269;persian;(42, 64);;português;sp;1;0.69;0.69
270;persian;(42, 64);;inglês;hp;1;0.49;0.49
271;rhydon;(45, 64);;português;sp;2;1.4;2.8
272;rhydon;(45, 64);;inglês;hp;1;3.6;3.6
273;tauros;(47, 64);;português;hp;1;1.49;1.49
274;weepinbell;(48, 64);;português;nm;3;25.0;75.0
275;weepinbell;(48, 64);;português;sp;3;0.99;2.97
276;bellsprout;(49, 64);;português;nm;9;12.0;108.0
277;bellsprout;(49, 64);;português;d;2;0.15;0.3
278;bellsprout;(49, 64);;português;sp;1;0.27;0.27
279;cubone;(50, 64);;inglês;d;1;0.16;0.16
280;eevee;(51, 64);;português;nm;4;;
281;eevee;(51, 64);;português;sp;3;0.36;1.08
282;eevee;(51, 64);;português;mp;1;0.3;0.3
283;eevee;(51, 64);;inglês;mp;1;0.77;0.77
284;jigglypuff;(54, 64);;português;nm;1;0.73;0.73
285;jigglypuff;(54, 64);;inglês;mp;1;0.49;0.49
286;mankey;(55, 64);;português;d;1;0.09;0.09
287;meowth;(56, 64);;português;nm;6;12.9;77.4
288;meowth;(56, 64);;português;sp;3;0.41;1.23
289;nidoran fêmea;(57, 64);;português;nm;4;12.0;48.0
290;nidoran fêmea;(57, 64);;português;sp;7;0.27;1.89
291;nidoran fêmea;(57, 64);;inglês;mp;1;0.4;0.4
292;nidoran fêmea;(57, 64);;português;d;1;0.4;0.4
293;oddish;(58, 64);;português;nm;2;8.01;16.02
294;oddish;(58, 64);;português;sp;3;0.5;1.5
295;oddish;(58, 64);;português;d;1;0.08;0.08
296;rhyhorn;(61, 64);;português;nm;5;1.0;5.0
297;rhyhorn;(61, 64);;português;sp;3;0.5;1.5
298;spearow;(62, 64);;inglês;hp;1;0.39;0.39
299;venonat;(63, 64);;inglês;d;1;;
300;pokéball;(64, 64);;português;sp;1;;
301;lt. surge's magneton;(8, 132);foil;inglês;nm;1;;
302;lt. surge's raticate;(51, 132);;inglês;nm;1;;
303;lt. surge's raticate;(51, 132);;inglês;sp;1;;
304;lt. surge's spearow;(52, 132);;inglês;nm;2;14.39;28.78
305;sabrina's slowbro;(60, 132);;inglês;d;1;;
306;lt. surge's magnemite;(80, 132);;inglês;nm;3;22.5;67.5
307;lt. surge's magnemite;(80, 132);;inglês;sp;1;1.35;1.35
308;lt. surge's pikachu;(81, 132);;inglês;nm;3;30.0;90.0
309;lt. surge's pikachu;(81, 132);;inglês;sp;1;5.89;5.89
310;lt. surge's pikachu;(81, 132);;inglês;d;1;2.5;2.5
311;lt. surge's rattata;(82, 132);;inglês;nm;2;35.1;70.2
312;lt. surge's rattata;(82, 132);;inglês;sp;2;0.95;1.9
313;lt. surge's spearow;(83, 132);;inglês;nm;2;23.39;46.78
314;lt. surge's voltorb;(84, 132);;inglês;nm;2;;
315;lt. surge's voltorb;(84, 132);;inglês;sp;1;0.77;0.77
316;lt. surge;(101, 132);;inglês;sp;1;11.9;11.9
317;secret mission;(118, 132);;inglês;sp;2;2.49;4.98
318;vermilion city gym;(120, 132);;inglês;nm;1;;
319;sabrina's gaze;(125, 132);;inglês;sp;1;2.75;2.75
320;sabrina's gaze;(125, 132);;inglês;mp;1;2.49;2.49
321;lightning energy;(130, 132);;inglês;nm;24;1.79;42.96
322;lightning energy;(130, 132);;inglês;sp;4;1.0;4.0
323;koga's beedrill;(9, 132);foil;inglês;d;1;19.5;19.5
324;sabrina's alakazam;(16, 132);foil;inglês;d;1;29.9;29.9
325;blaine's charmeleon;(31, 132);;inglês;d;1;4.49;4.49
326;koga's kakuna;(47, 132);;inglês;sp;1;3.69;3.69
327;koga's koffing;(48, 132);;inglês;sp;1;1.49;1.49
328;koga's weezing;(50, 132);;inglês;sp;3;13.0;39.0
329;sabrina's haunter;(55, 132);;inglês;sp;1;7.5;7.5
330;sabrina's jynx;(57, 132);;inglês;sp;2;3.0;6.0
331;sabrina's kadabra;(58, 132);;inglês;sp;1;9.19;9.19
332;blaine's charmander;(60, 132);;inglês;d;2;1.49;2.98
333;blaine's mankey;(63, 132);;inglês;d;1;;
334;giovanni's machop;(72, 132);;inglês;mp;1;2.5;2.5
335;koga's ekans;(77, 132);;inglês;sp;3;0.49;1.47
336;koga's grimer;(78, 132);;inglês;sp;3;1.25;3.75
337;koga's grimer;(78, 132);edition one;inglês;hp;1;;
338;koga's koffing;(79, 132);;inglês;sp;3;0.49;1.47
339;koga's koffing;(79, 132);;inglês;mp;1;1.5;1.5
340;koga's pidgey;(80, 132);;inglês;sp;3;1.0;3.0
341;koga's weedle;(82, 132);;inglês;sp;2;0.99;1.98
342;koga's weedle;(82, 132);;inglês;d;2;0.09;0.18
343;misty's poliwag;(89, 132);;inglês;mp;1;2.49;2.49
344;sabrina's abra;(93, 132);;inglês;sp;2;1.0;2.0
345;sabrina's abra;(94, 132);;inglês;sp;1;3.0;3.0
346;sabrina's drowzee;(95, 132);;inglês;sp;2;0.91;1.82
347;sabrina's gastly;(96, 132);;inglês;sp;2;2.3;4.6
348;sabrina's porygon;(98, 132);;inglês;sp;4;1.99;7.96
349;koga;(106, 132);;inglês;sp;1;7.82;7.82
350;sabrina;(110, 132);;inglês;sp;1;9.5;9.5
351;fuchsia city gym;(114, 132);;inglês;sp;1;2.69;2.69
352;sabrina's psychic control;(121, 132);;inglês;sp;1;2.99;2.99
353;viridian city gym;(123, 132);;inglês;mp;1;0.49;0.49
354;grass energy;(129, 132);;inglês;sp;20;0.99;19.8
355;grass energy;(129, 132);;inglês;mp;6;0.5;3.0
356;grass energy;(129, 132);;inglês;d;2;;
357;psychic energy;(131, 132);;inglês;sp;15;1.0;15.0
358;psychic energy;(131, 132);;inglês;mp;7;0.49;3.43
359;psychic energy;(131, 132);;inglês;d;2;;
360;dark crobat;(2, 105);foil;inglês;nm;1;;
361;dark espeon;(4, 105);foil;inglês;nm;1;1500.0;1500.0
362;dark typhlosion;(10, 105);foil;inglês;nm;1;;
363;dark magcargo;(18, 105);;inglês;nm;1;14.9;14.9
364;dark magcargo;(18, 105);;inglês;sp;1;5.4;5.4
365;dark omastar;(19, 105);;inglês;m;1;;
366;dark ursaring;(21, 105);;inglês;nm;1;;
367;unown h;(28, 105);;inglês;nm;1;;
368;unown w;(29, 105);;inglês;nm;1;;
369;dark croconaw;(32, 105);;inglês;sp;1;9.49;9.49
370;dark exeggutor;(33, 105);;inglês;nm;1;;
371;dark flaaffy;(34, 105);;inglês;sp;1;6.49;6.49
372;dark forretress;(35, 105);;inglês;nm;2;;
373;dark haunter;(36, 105);;inglês;m;1;;
374;dark haunter;(36, 105);;inglês;nm;1;14.9;14.9
375;dark omanyte;(37, 105);;inglês;nm;1;2.0;2.0
376;dark pupitar;(38, 105);;inglês;nm;1;;
377;dark quilava;(39, 105);;inglês;nm;4;1.99;7.96
378;dark quilava;(39, 105);;inglês;sp;1;0.99;0.99
379;dark wigglytuff;(40, 105);;inglês;m;1;;
380;dark wigglytuff;(40, 105);;inglês;nm;1;14.5;14.5
381;heracross;(41, 105);;inglês;nm;1;;
382;houndour;(43, 105);;inglês;nm;2;3.8;7.6
383;jigglypuff;(44, 105);;inglês;m;1;;
384;jigglypuff;(44, 105);;inglês;d;1;0.7;0.7
385;light flareon;(46, 105);;inglês;nm;1;;
386;light jolteon;(48, 105);;inglês;nm;1;;
387;light ninetales;(50, 105);;inglês;nm;1;;
388;light slowbro;(51, 105);;inglês;nm;2;10.0;20.0
389;light vaporeon;(52, 105);;inglês;nm;1;54.99;54.99
390;togepi;(56, 105);;inglês;nm;1;10.0;10.0
391;unown p;(58, 105);;inglês;m;1;;
392;unown z;(60, 105);;inglês;nm;1;;
393;cyndaquil;(61, 105);;inglês;nm;6;1.08;6.48
394;dark octillery;(62, 105);;inglês;nm;1;3.59;3.59
395;dark octillery;(62, 105);;inglês;sp;1;2.0;2.0
396;dratini;(63, 105);;inglês;m;2;;
397;dratini;(63, 105);;inglês;nm;1;;
398;exeggcute;(64, 105);;inglês;m;1;;
399;exeggcute;(64, 105);;inglês;nm;2;1.1;2.2
400;exeggcute;(64, 105);;inglês;d;1;;
401;gastly;(65, 105);;inglês;m;1;;
402;gastly;(65, 105);;inglês;nm;2;1.0;2.0
403;girafarig;(66, 105);;inglês;nm;1;1.0;1.0
404;gligar;(67, 105);;inglês;m;1;;
405;gligar;(67, 105);;inglês;nm;2;0.74;1.48
406;growlithe;(68, 105);;inglês;m;1;5.39;5.39
407;growlithe;(68, 105);;inglês;nm;2;0.99;1.98
408;growlithe;(68, 105);;inglês;sp;1;0.74;0.74
409;hitmonchan;(69, 105);;inglês;sp;1;3.99;3.99
410;larvitar;(70, 105);;inglês;m;2;;
411;ledyba;(71, 105);;inglês;m;1;;
412;ledyba;(71, 105);;inglês;sp;1;0.37;0.37
413;light sunflora;(72, 105);;inglês;nm;1;1.99;1.99
414;machop;(73, 105);;inglês;nm;2;0.99;1.98
415;mantine;(74, 105);;inglês;nm;1;1.0;1.0
416;mantine;(74, 105);;inglês;mp;1;2.5;2.5
417;mareep;(75, 105);;inglês;sp;1;0.74;0.74
418;mareep;(75, 105);;inglês;mp;1;0.28;0.28
419;phanpy;(76, 105);;inglês;m;1;;
420;pineco;(77, 105);;inglês;d;1;0.09;0.09
421;porygon;(78, 105);;inglês;m;1;;
422;porygon;(78, 105);;inglês;sp;1;0.49;0.49
423;psyduck;(79, 105);;inglês;sp;1;0.9;0.9
424;psyduck;(79, 105);;inglês;mp;1;0.62;0.62
425;remoraid;(80, 105);;inglês;m;1;;
426;remoraid;(80, 105);;inglês;sp;3;0.69;2.07
427;seel;(81, 105);;inglês;m;1;;
428;seel;(81, 105);;inglês;nm;3;2.5;7.5
429;seel;(81, 105);;inglês;sp;1;0.49;0.49
430;slugma;(82, 105);;inglês;nm;5;2.5;12.5
431;slugma;(82, 105);;inglês;sp;1;0.5;0.5
432;sunkern;(83, 105);;inglês;nm;2;1.29;2.58
433;swinub;(84, 105);;inglês;nm;1;1.1;1.1
434;swinub;(84, 105);;inglês;mp;1;0.63;0.63
435;totodile;(85, 105);;inglês;nm;1;0.99;0.99
436;unown l;(86, 105);;inglês;nm;3;1.7;5.1
437;unown s;(87, 105);;inglês;m;1;;
438;unown s;(87, 105);;inglês;nm;2;3.1;6.2
439;unown t;(88, 105);;inglês;m;1;;
440;unown t;(88, 105);;inglês;nm;2;2.1;4.2
441;venonat;(90, 105);;inglês;nm;4;2.9;11.6
442;venonat;(90, 105);;inglês;mp;1;0.7;0.7
443;vulpix;(91, 105);;inglês;m;2;8.91;17.82
444;vulpix;(91, 105);;inglês;nm;2;1.39;2.78
445;impostor professor oak's invention;(94, 105);;inglês;m;1;;
446;impostor professor oak's invention;(94, 105);;inglês;nm;1;19.5;19.5
447;counterattack claws;(97, 105);;inglês;nm;1;3.0;3.0
448;energy amplifier;(98, 105);;inglês;nm;1;2.69;2.69
449;energy stadium;(99, 105);;inglês;nm;2;5.92;11.84
450;magnifier;(101, 105);;inglês;nm;1;3.99;3.99
451;team rocket's evil deeds;(103, 105);;inglês;sp;2;3.99;7.98
452;heal powder;(104, 105);;inglês;nm;2;1.79;3.58
453;heal powder;(104, 105);;inglês;mp;1;0.6;0.6
454;mail from bill;(105, 105);;inglês;nm;2;2.5;5.0
455;shining kabutops;(108, 105);foil;inglês;nm;1;;
456;shining steelix;(112, 105);foil;inglês;nm;1;28000.0;28000.0
457;meganium;(10, 111);foil;inglês;d;1;44.9;44.9
458;donphan;(21, 111);edition one;inglês;m;1;;
459;magby;(23, 111);;inglês;sp;1;8.5;8.5
460;murkrow;(24, 111);;inglês;nm;1;;
461;aipom;(26, 111);;inglês;nm;1;;
462;bayleef;(28, 111);;inglês;sp;1;5.0;5.0
463;clefairy;(30, 111);edition one;inglês;nm;1;;
464;electabuzz;(33, 111);;inglês;sp;1;1.0;1.0
465;ledian;(39, 111);edition one;inglês;m;1;;
466;magmar;(40, 111);;inglês;nm;1;2.5;2.5
467;piloswine;(44, 111);;inglês;sp;2;3.0;6.0
468;quilava;(46, 111);;inglês;nm;1;;
469;xatu;(52, 111);edition one;inglês;nm;1;;
470;chikorita;(53, 111);;inglês;nm;1;;
471;chikorita;(54, 111);;inglês;sp;1;0.4;0.4
472;chinchou;(55, 111);;inglês;nm;1;0.49;0.49
473;cyndaquil;(56, 111);;inglês;nm;1;6.29;6.29
474;cyndaquil;(56, 111);;inglês;d;1;0.6;0.6
475;cyndaquil;(57, 111);;inglês;nm;3;2.25;6.75
476;girafarig;(58, 111);;inglês;sp;2;0.25;0.5
477;girafarig;(58, 111);;inglês;d;2;0.2;0.4
478;gligar;(59, 111);edition one;inglês;nm;1;13.49;13.49
